y,collegeDegree,female,age,homeOwn,govt,length,id,aboveav
Fairly Low,0,1,50,Yes,Yes,60.380001068115234,47,0
Very Low,0,1,23,Yes,No,54.470001220703125,78,0
Very Low,0,0,43,No,No,58.25,47,0
Very High,1,1,56,Yes,No,56.27000045776367,79,1
Average,0,0,58,Yes,No,55.31999969482422,79,0
Average,0,1,46,Yes,No,56.29999923706055,79,0
Average,0,0,41,No,No,143.5,67,0
Fairly Low,1,0,89,Yes,No,79.529998779296875,48,0
Average,0,0,32,No,No,66.56999969482422,48,0
Fairly Low,1,1,63,No,No,79.279998779296875,48,0
Fairly Low,0,1,25,No,No,58.029998779296875,72,0
Average,1,1,65,No,No,100.47000122070312,67,0
Average,1,1,42,No,No,41.970001220703125,40,0
Average,0,0,27,No,No,61.150001525878906,40,0
Very Low,0,1,44,No,No,90,40,0
Average,1,0,40,Yes,Yes,55.58000183105469,80,0
Fairly High,0,1,75,Yes,No,68.55000305175781,80,1
Fairly Low,1,0,39,Yes,Yes,60.56999969482422,41,0
Average,0,0,67,Yes,No,53.54999923706055,41,0
Fairly High,1,1,34,No,No,56.08000183105469,54,1
Average,1,0,85,No,No,55.779998779296875,54,0
Average,0,1,58,No,No,62.720001220703125,52,0
Average,1,0,33,No,Yes,50.93000030517578,52,0
Very High,1,0,39,Yes,No,137.27000427246094,52,1
Fairly High,0,0,63,Yes,No,66.5199966430664,56,1
Average,1,0,25,No,No,55.66999816894531,54,0
Average,1,1,56,Yes,No,71.25,54,0
Average,1,1,32,No,No,72.25,54,0
Very Low,0,0,67,No,No,72.75,54,0
Average,1,0,40,Yes,No,70.06999969482422,1,0
Fairly Low,0,1,33,Yes,No,42.029998779296875,76,0
Fairly High,0,0,40,No,No,111.94999694824219,76,1
Fairly High,1,0,73,Yes,No,158.97999572753906,76,1
Average,0,1,35,No,Yes,82.31999969482422,76,0
Fairly High,1,0,73,Yes,No,106.33000183105469,76,1
Fairly High,0,1,61,Yes,No,65.7699966430664,76,1
Fairly Low,0,0,28,No,No,55.52000045776367,76,0
Average,0,1,50,Yes,No,165.8300018310547,76,0
Very High,1,1,42,No,No,142.67999267578125,76,1
Very High,1,0,43,Yes,No,68.68000030517578,80,1
Very High,1,0,55,Yes,No,91.7699966430664,67,1
Fairly High,1,1,36,Yes,Yes,77.33000183105469,81,1
Fairly High,1,1,30,Yes,No,55.22999954223633,81,1
Very Low,0,1,75,Yes,No,100.8499984741211,43,0
Average,0,0,71,Yes,No,90.1500015258789,81,0
Very High,1,1,38,Yes,No,68.43000030517578,81,1
Fairly High,1,1,44,Yes,No,100.05000305175781,81,1
Very High,1,1,54,Yes,No,167.02000427246094,57,1
Fairly Low,0,1,89,Yes,No,98.62000274658203,57,0
Fairly Low,0,1,82,Yes,No,22.030000686645508,57,0
Fairly Low,0,1,24,No,No,113.19999694824219,43,0
Average,0,1,19,Yes,No,86.66999816894531,43,0
Very High,1,0,49,Yes,No,73.37999725341797,43,1
Average,0,1,50,Yes,No,62.720001220703125,60,0
Fairly High,1,1,48,Yes,No,89.83000183105469,60,1
Fairly Low,0,0,29,No,No,56,60,0
Fairly High,1,1,51,No,No,88.279998779296875,60,1
Fairly High,1,0,37,No,No,108.02999877929688,82,1
Fairly High,0,1,21,No,No,67.18000030517578,82,1
Very High,1,0,56,Yes,No,124.37000274658203,82,1
Average,0,1,53,Yes,No,92.16999816894531,82,0
Fairly High,1,0,50,Yes,Yes,72.55000305175781,83,1
Fairly Low,0,1,39,Yes,No,77.56999969482422,1,0
Very Low,0,0,41,No,No,75.1500015258789,83,0
Fairly High,0,1,21,Yes,No,48.529998779296875,83,1
Fairly Low,0,1,21,No,No,52.630001068115234,33,0
Average,0,1,20,No,No,63.650001525878906,60,0
Average,0,0,36,No,No,44.45000076293945,60,0
Fairly High,0,1,54,Yes,No,124.37000274658203,60,1
Very High,1,1,57,Yes,No,112.75,60,1
Very Low,0,1,46,No,No,67,1,0
Very High,1,1,46,Yes,No,58.5,84,1
Very High,1,0,28,No,No,70.16999816894531,53,1
Fairly High,0,0,36,Yes,No,74.06999969482422,85,1
Fairly High,0,1,40,Yes,No,59.849998474121094,85,1
Very High,0,0,53,Yes,No,57.25,53,1
Very Low,0,0,19,Yes,No,46.349998474121094,86,0
Fairly Low,0,1,18,No,No,46.029998779296875,86,0
Very Low,0,0,38,Yes,No,45.08000183105469,86,0
Very Low,0,1,20,No,No,58.70000076293945,86,0
Very High,0,1,31,Yes,No,49.47999954223633,65,1
Very High,1,0,81,Yes,No,62.77000045776367,65,1
Very High,1,0,30,No,Yes,92.0999984741211,65,1
Average,1,1,80,Yes,No,91.029998779296875,21,0
Average,1,1,52,Yes,No,58.54999923706055,61,0
Average,0,0,41,No,No,50.54999923706055,61,0
Very High,1,0,49,Yes,No,81.6500015258789,61,1
Average,0,1,49,Yes,No,68.81999969482422,47,0
Fairly Low,0,1,21,No,No,59.72999954223633,72,0
Average,0,1,57,Yes,No,82.470001220703125,43,0
Fairly Low,0,1,39,No,No,103.9800033569336,43,0
Very Low,0,1,36,No,No,66.220001220703125,43,0
Very High,0,1,44,Yes,No,59.41999816894531,43,1
Fairly Low,0,1,26,No,No,93.7300033569336,43,0
Average,0,0,22,No,No,44.029998779296875,7,0
Average,0,1,79,Yes,No,51.279998779296875,7,0
Average,0,0,66,Yes,No,89.37999725341797,84,0
Very High,0,0,88,No,No,100.30000305175781,84,1
Fairly Low,0,1,38,Yes,No,62.029998779296875,84,0
Fairly High,0,1,25,Yes,No,47.06999969482422,7,1
Average,0,1,82,Yes,No,58.380001068115234,7,0
Average,0,0,27,No,No,39.529998779296875,7,0
Fairly Low,0,1,33,No,No,50.16999816894531,68,0
Fairly High,0,1,60,No,No,92.3499984741211,68,1
Very High,1,0,52,No,No,60.970001220703125,68,1
Average,1,0,24,Yes,Yes,56.45000076293945,53,0
Fairly High,0,0,76,Yes,No,129.0800018310547,53,1
Very High,1,0,65,Yes,No,110.0999984741211,53,1
Average,1,0,46,Yes,Yes,42.970001220703125,34,0
Very Low,0,0,73,Yes,No,71.279998779296875,53,0
Very Low,0,0,40,Yes,No,75.470001220703125,60,0
Fairly Low,0,1,56,Yes,No,49.369998931884766,7,0
Fairly Low,1,1,31,Yes,Yes,44.95000076293945,7,0
Fairly High,1,0,43,Yes,Yes,57.650001525878906,52,1
Average,0,0,77,Yes,No,92.2300033569336,52,0
Very High,1,0,66,Yes,No,129.17999267578125,52,1
Average,0,1,51,No,No,74.529998779296875,21,0
Very High,1,1,35,Yes,No,92.44999694824219,20,1
Fairly Low,0,0,70,Yes,No,74.5999984741211,20,0
Average,0,1,28,No,No,62.06999969482422,20,0
Average,0,1,33,Yes,No,53.630001068115234,20,0
Fairly High,0,1,52,No,No,61.29999923706055,25,1
Fairly High,1,0,47,No,Yes,69.279998779296875,24,1
Very High,1,0,67,Yes,No,57.900001525878906,24,1
Fairly High,0,1,24,No,No,89.87000274658203,24,1
Average,1,1,32,Yes,No,58.650001525878906,2,0
Fairly High,0,1,46,Yes,No,42.16999816894531,2,1
Fairly Low,1,1,34,Yes,No,36.72999954223633,32,0
Fairly Low,1,1,56,Yes,No,41.27000045776367,32,0
Fairly High,1,1,47,Yes,Yes,54.47999954223633,21,1
Very High,1,0,53,Yes,No,68,21,1
Average,1,1,59,Yes,No,67.12999725341797,34,0
Very High,1,1,48,Yes,Yes,77.16999816894531,6,1
Very High,1,1,43,Yes,No,52.97999954223633,6,1
Average,1,1,29,Yes,No,80.470001220703125,6,0
Very High,1,0,56,Yes,No,65.80000305175781,34,1
Fairly High,0,0,67,No,No,51.029998779296875,25,1
Average,0,1,70,No,No,57.119998931884766,25,0
Fairly High,1,0,46,No,No,44.720001220703125,25,1
Average,1,0,65,Yes,No,130.17999267578125,21,0
Fairly High,0,1,62,Yes,No,54.529998779296875,25,1
Very High,0,1,35,No,No,65.9800033569336,25,1
Fairly High,1,1,56,Yes,Yes,57.95000076293945,25,1
Very High,0,0,45,Yes,No,70.6500015258789,2,1
Very High,1,0,50,Yes,No,56.099998474121094,6,1
Very Low,0,1,53,Yes,No,55.619998931884766,87,0
Very High,1,1,53,Yes,No,111.19999694824219,87,1
Average,0,0,43,No,No,77.2300033569336,3,0
Fairly Low,0,1,56,Yes,No,71.529998779296875,3,0
Average,0,0,26,No,No,93,3,0
Fairly Low,0,1,33,Yes,No,59.5,3,0
Fairly High,0,1,32,Yes,No,68.779998779296875,3,1
Very High,0,0,54,Yes,No,82.029998779296875,3,1
Very High,0,1,67,Yes,No,69.720001220703125,7,1
Very High,0,0,49,Yes,No,85.5199966430664,27,1
Very High,1,0,55,Yes,No,57.08000183105469,27,1
Very High,1,0,25,No,Yes,54.849998474121094,27,1
Very Low,0,1,42,No,Yes,63.900001525878906,87,0
Fairly High,1,1,23,Yes,No,53.880001068115234,87,1
Fairly High,0,1,59,Yes,No,84.5199966430664,87,1
Average,0,1,75,Yes,No,90.37000274658203,87,0
Fairly High,0,1,79,Yes,No,139.5500030517578,3,1
Very High,0,0,36,No,No,88.779998779296875,87,1
Average,0,1,55,Yes,No,46.70000076293945,87,0
Very Low,1,0,23,Yes,No,41.33000183105469,87,0
Very Low,1,1,25,Yes,No,47.650001525878906,87,0
Average,0,1,43,Yes,No,64.30000305175781,87,0
Fairly Low,0,1,44,Yes,Yes,73.2300033569336,87,0
Fairly Low,0,1,84,No,No,60.54999923706055,38,0
Fairly High,1,0,38,Yes,No,74.1500015258789,5,1
Very Low,0,1,71,Yes,No,91.5999984741211,28,0
Fairly High,0,0,82,Yes,No,84.5999984741211,7,1
Average,1,0,37,Yes,Yes,99.75,4,0
Very High,1,0,83,Yes,No,96.4800033569336,6,1
Very High,1,1,57,Yes,No,34.380001068115234,28,1
Fairly Low,0,1,40,No,No,51.849998474121094,28,0
Very High,1,1,54,Yes,No,72.69999694824219,28,1
Very High,0,0,69,Yes,No,75.56999969482422,38,1
Fairly High,0,1,56,Yes,No,63.79999923706055,21,1
Average,0,0,41,Yes,No,56.369998931884766,9,0
Fairly High,0,1,21,Yes,No,49.02000045776367,9,1
Average,1,1,NA,Yes,No,86.58000183105469,9,0
Very High,0,0,30,No,No,58.58000183105469,63,1
Fairly Low,0,1,19,No,No,43,5,0
Very Low,0,1,53,No,No,53.869998931884766,88,0
Very High,1,0,36,Yes,Yes,59.900001525878906,88,1
Average,0,1,34,No,No,66.25,88,0
Very Low,0,1,37,No,No,53.47999954223633,88,0
Fairly High,1,0,56,Yes,Yes,58.08000183105469,88,1
Average,0,1,48,Yes,No,74.81999969482422,51,0
Fairly Low,0,1,60,Yes,Yes,64.25,51,0
Fairly High,1,1,35,Yes,No,59.47999954223633,53,1
Average,0,1,57,Yes,No,127.0199966430664,67,0
Very High,1,0,25,Yes,No,57.869998931884766,7,1
Average,0,0,41,No,No,62.279998779296875,7,0
Fairly Low,0,1,62,No,No,138.3800048828125,14,0
Fairly High,1,0,38,Yes,No,66.9800033569336,14,1
Average,0,0,27,Yes,No,154.3699951171875,14,0
Average,0,1,36,Yes,No,65.81999969482422,55,0
Fairly High,1,0,64,Yes,No,47.369998931884766,45,1
Average,1,1,56,Yes,No,70.0199966430664,45,0
Average,1,1,41,Yes,No,54.41999816894531,45,0
Very High,1,0,35,Yes,No,58.95000076293945,32,1
Average,1,1,42,Yes,Yes,56.529998779296875,32,0
Average,0,1,48,Yes,No,45.150001525878906,32,0
Fairly Low,0,1,44,Yes,No,46.529998779296875,32,0
Very High,0,0,38,Yes,Yes,198.25,89,1
Fairly High,0,1,59,Yes,No,98.5,89,1
Average,0,1,80,Yes,No,124.2699966430664,89,0
Fairly High,1,1,50,No,No,88.2300033569336,89,1
Fairly High,0,0,63,Yes,No,118.22000122070312,89,1
Average,0,1,47,Yes,Yes,62.279998779296875,89,0
Very High,0,0,42,Yes,No,50.79999923706055,89,1
Average,0,1,18,No,No,68,89,0
Fairly High,0,0,88,Yes,No,57.900001525878906,45,1
Fairly High,0,0,63,Yes,No,69.529998779296875,39,1
Very High,0,0,34,Yes,No,62.5,57,1
Very High,1,0,47,Yes,No,65.94999694824219,43,1
Fairly High,1,1,66,Yes,No,142.07000732421875,90,1
Very High,1,0,42,Yes,Yes,60.130001068115234,90,1
Fairly Low,0,1,27,No,No,42.06999969482422,90,0
Very High,0,1,34,No,No,47.119998931884766,91,1
Fairly Low,0,0,37,No,No,39.45000076293945,91,0
Very High,1,1,43,No,No,55.75,91,1
Very High,1,0,69,No,Yes,65.37999725341797,91,1
Very High,1,1,76,No,No,67.970001220703125,91,1
Very High,1,0,60,Yes,No,89.19999694824219,91,1
Very High,1,0,45,Yes,No,84.94999694824219,92,1
Average,0,0,73,Yes,Yes,71.4000015258789,92,0
Very High,0,0,46,No,No,121.5,16,1
Fairly Low,1,1,85,Yes,No,83.220001220703125,92,0
Average,0,1,34,No,No,65.94999694824219,92,0
Very Low,0,1,36,Yes,No,60.470001220703125,92,0
Fairly Low,0,0,29,No,No,72.19999694824219,92,0
Fairly High,0,0,82,Yes,No,66.5999984741211,92,1
Average,0,0,68,Yes,No,58.04999923706055,92,0
Average,1,0,27,No,No,57.95000076293945,92,0
Very High,0,0,58,Yes,No,69.75,83,1
Fairly High,0,1,49,Yes,No,112.7300033569336,83,1
Very High,1,0,33,Yes,No,47.27000045776367,83,1
Average,0,1,71,No,No,100.58000183105469,39,0
Average,0,1,65,No,No,90.68000030517578,39,0
Fairly Low,1,1,48,Yes,Yes,80.93000030517578,39,0
Average,0,1,20,No,No,55.720001220703125,39,0
Fairly Low,0,0,42,Yes,No,66.12999725341797,93,0
Very High,0,0,31,No,No,65,93,1
Fairly High,0,1,65,Yes,No,62.5,80,1
Average,1,0,38,Yes,No,51.20000076293945,80,0
Fairly High,1,0,72,Yes,No,95.56999969482422,80,1
Average,0,1,31,Yes,No,41.349998474121094,38,0
Fairly High,0,0,49,Yes,No,85.37000274658203,7,1
Fairly High,1,0,83,Yes,No,73.7699966430664,83,1
Average,1,1,55,Yes,Yes,87.55000305175781,41,0
Average,0,1,67,Yes,No,69.0199966430664,41,0
Fairly Low,1,1,23,Yes,No,57.22999954223633,41,0
Fairly Low,0,1,31,Yes,No,51.619998931884766,48,0
Average,0,0,49,Yes,No,104.91999816894531,48,0
Fairly Low,0,0,20,No,Yes,45.130001068115234,48,0
Average,0,0,79,Yes,No,68.779998779296875,48,0
Average,1,0,49,Yes,No,152.3699951171875,46,0
Average,0,0,37,Yes,No,60.04999923706055,46,0
Fairly Low,0,1,45,Yes,No,61.43000030517578,77,0
Fairly High,1,0,42,Yes,Yes,96.56999969482422,77,1
Fairly Low,0,0,53,Yes,No,60.68000030517578,88,0
Average,0,0,61,No,No,63.29999923706055,88,0
Fairly High,0,0,36,Yes,No,115.93000030517578,88,1
Average,0,1,28,Yes,No,51.22999954223633,53,0
Fairly High,0,0,28,No,No,55.45000076293945,63,1
Very High,1,0,26,No,No,56.81999969482422,63,1
Average,0,1,77,No,No,103.4000015258789,61,0
Very High,0,1,63,No,No,86.7699966430664,61,1
Fairly Low,0,0,59,No,No,52.31999969482422,50,0
Average,0,1,58,Yes,No,50.04999923706055,50,0
Average,0,1,19,Yes,No,66.5199966430664,50,0
Very Low,0,1,81,Yes,No,38.41999816894531,50,0
Fairly High,1,1,47,Yes,No,74.5,50,1
Very High,0,1,64,No,No,83.720001220703125,50,1
Fairly Low,0,1,22,Yes,No,40.970001220703125,50,0
Average,1,1,49,Yes,No,70.529998779296875,41,0
Fairly High,1,1,80,No,No,60.220001220703125,41,1
Average,0,1,70,Yes,No,61.06999969482422,41,0
Fairly High,1,0,53,Yes,No,76.4000015258789,46,1
Fairly Low,0,1,21,Yes,No,50.18000030517578,66,0
Average,0,0,74,No,No,69.279998779296875,66,0
Average,1,1,60,No,No,60.75,66,0
Average,0,0,40,Yes,No,64.56999969482422,39,0
Fairly High,0,0,57,Yes,No,68.31999969482422,39,1
Fairly High,1,0,31,Yes,No,59.70000076293945,1,1
Average,0,0,75,No,No,60.29999923706055,1,0
Fairly Low,0,0,64,No,No,89.66999816894531,70,0
Very High,1,0,47,Yes,No,61.130001068115234,70,1
Fairly High,0,0,55,Yes,No,68.220001220703125,70,1
Very High,0,0,55,Yes,No,79.2699966430664,38,1
Fairly Low,0,1,20,Yes,No,69.94999694824219,50,0
Fairly High,1,0,54,No,No,66.279998779296875,50,1
Average,1,0,39,Yes,No,58.04999923706055,64,0
Fairly Low,0,0,63,No,No,94.25,64,0
Fairly High,1,1,54,Yes,No,85.30000305175781,64,1
Average,0,1,88,Yes,No,67.8499984741211,49,0
Fairly High,0,0,93,Yes,No,49.75,49,1
Very Low,0,1,38,No,No,65,94,0
Very Low,0,1,56,No,No,90.93000030517578,94,0
Very High,1,0,49,Yes,Yes,88.87000274658203,94,1
Fairly High,1,1,23,Yes,No,73.9800033569336,94,1
Fairly Low,0,1,19,No,No,63.970001220703125,95,0
Fairly Low,0,1,33,No,Yes,62,95,0
Fairly Low,0,0,18,No,No,34.91999816894531,95,0
Average,0,0,64,No,No,59.72999954223633,95,0
Average,1,1,39,Yes,No,99.93000030517578,52,0
Fairly High,0,0,27,No,No,79.18000030517578,1,1
Average,0,1,68,Yes,No,51.04999923706055,1,0
Fairly Low,0,1,58,Yes,No,62.06999969482422,1,0
Average,0,1,43,Yes,No,44.220001220703125,96,0
Average,0,0,44,Yes,No,49.52000045776367,96,0
Average,0,1,40,Yes,No,52.099998474121094,96,0
Average,0,1,52,Yes,No,53.47999954223633,96,0
Average,0,1,39,Yes,No,75.56999969482422,45,0
Average,1,1,56,Yes,No,23.399999618530273,45,0
Very Low,0,0,29,No,No,64.31999969482422,45,0
Fairly Low,0,1,45,Yes,No,99.33000183105469,45,0
Average,0,1,40,No,No,61.529998779296875,86,0
Average,1,1,26,No,Yes,54.619998931884766,86,0
Very Low,0,0,21,No,No,77.41999816894531,86,0
Average,1,0,75,Yes,No,65.81999969482422,86,0
Average,1,1,34,No,No,59.279998779296875,97,0
Average,0,1,44,Yes,No,75.55000305175781,88,0
Very Low,0,1,19,No,No,67.5,88,0
Fairly Low,0,1,75,Yes,No,92.7699966430664,64,0
Very High,1,0,39,Yes,No,51.400001525878906,98,1
Fairly High,1,0,79,Yes,No,64.2300033569336,98,1
Average,0,1,63,Yes,No,73.5999984741211,98,0
Average,1,1,40,Yes,No,59.70000076293945,98,0
Average,0,0,52,No,No,63.630001068115234,75,0
Very Low,0,1,38,Yes,No,64.19999694824219,75,0
Fairly High,0,0,76,Yes,No,71.83000183105469,70,1
Average,0,1,76,Yes,No,85.029998779296875,70,0
Average,0,1,66,Yes,No,125.37999725341797,70,0
Average,0,0,35,No,Yes,98.31999969482422,70,0
Average,1,1,81,Yes,No,84.56999969482422,88,0
Fairly Low,1,1,24,No,No,47.58000183105469,72,0
Fairly Low,0,0,21,No,No,54.27000045776367,72,0
Average,0,1,75,Yes,No,74.529998779296875,47,0
Average,0,1,70,Yes,No,70.7699966430664,47,0
Fairly Low,0,1,57,Yes,No,83.2300033569336,47,0
Fairly High,0,1,74,Yes,No,80.83000183105469,68,1
Very Low,0,1,78,Yes,No,41.58000183105469,68,0
Average,1,1,47,Yes,No,70.87000274658203,68,0
Fairly Low,0,1,45,No,No,59.06999969482422,41,0
Average,0,1,61,Yes,No,54.79999923706055,41,0
Average,0,1,47,No,No,66.41999816894531,41,0
Very Low,0,0,32,No,No,57.97999954223633,41,0
Very Low,0,1,31,No,No,57.630001068115234,94,0
Fairly Low,0,0,62,Yes,No,71.8499984741211,53,0
Fairly High,0,1,34,Yes,No,55.66999816894531,53,1
Average,0,1,83,Yes,No,58.93000030517578,53,0
Average,1,0,28,No,No,52.380001068115234,54,0
Very High,1,0,45,Yes,No,56.849998474121094,45,1
Average,1,1,47,Yes,No,65.58000183105469,45,0
Fairly Low,0,0,40,Yes,No,79.83000183105469,45,0
Very Low,0,1,29,No,No,71.93000030517578,94,0
Fairly Low,0,1,58,Yes,No,91.9000015258789,58,0
Very High,1,1,37,Yes,No,78.279998779296875,58,1
Average,0,0,33,Yes,No,82.87000274658203,58,0
Very Low,0,0,20,Yes,No,55.029998779296875,58,0
Average,1,1,40,Yes,No,114.33000183105469,58,0
Fairly High,1,0,38,Yes,No,60.70000076293945,96,1
Fairly High,0,0,50,Yes,No,37.720001220703125,96,1
Average,1,1,37,No,Yes,65.2300033569336,53,0
Fairly Low,0,1,55,No,No,65.68000030517578,53,0
Average,0,0,58,Yes,Yes,65.83000183105469,53,0
Average,0,1,85,Yes,No,75.44999694824219,1,0
Fairly High,0,1,76,No,No,74.720001220703125,1,1
Very High,1,1,36,Yes,No,59.91999816894531,1,1
Fairly High,1,1,69,Yes,No,57.97999954223633,1,1
Fairly High,0,0,45,Yes,No,76.0999984741211,53,1
Fairly Low,0,0,77,Yes,No,105.93000030517578,53,0
Fairly High,1,0,48,Yes,No,53.43000030517578,66,1
Average,0,1,20,Yes,Yes,51.83000183105469,66,0
Fairly High,1,0,39,Yes,No,56.849998474121094,66,1
Average,0,1,49,No,No,56.18000030517578,66,0
Fairly Low,0,1,55,No,No,59.70000076293945,66,0
Fairly High,0,1,50,Yes,No,62.279998779296875,66,1
Average,0,1,79,Yes,No,64.9000015258789,68,0
Fairly Low,0,0,21,No,No,54.220001220703125,94,0
Very Low,0,1,46,No,No,63.83000183105469,70,0
Average,0,1,63,Yes,No,161.6699981689453,70,0
Fairly High,0,0,59,Yes,No,57.33000183105469,68,1
Fairly Low,0,0,33,Yes,No,50.41999816894531,73,0
Fairly High,1,1,48,Yes,Yes,64.5,73,1
Fairly High,1,1,40,Yes,No,52.04999923706055,73,1
Fairly High,1,1,57,Yes,No,79.220001220703125,89,1
Average,0,1,50,Yes,No,117,89,0
Average,1,1,29,No,Yes,83.06999969482422,53,0
Average,1,1,52,Yes,No,85.470001220703125,43,0
Fairly High,1,1,44,Yes,No,87.80000305175781,43,1
Fairly High,0,1,79,Yes,No,166.8000030517578,43,1
Fairly High,1,1,41,No,No,202.4199981689453,82,1
Average,1,1,36,No,Yes,96.6500015258789,82,0
Very Low,1,1,31,Yes,No,93.66999816894531,98,0
Fairly Low,0,1,20,No,No,75.12000274658203,98,0
Fairly High,0,1,80,Yes,No,96,99,1
Fairly High,0,1,36,No,No,66.12999725341797,48,1
Average,0,0,36,Yes,No,62.58000183105469,48,0
Average,1,0,81,No,No,72.2699966430664,48,0
Average,0,0,38,Yes,Yes,67.37000274658203,48,0
Fairly High,0,0,74,Yes,No,74.470001220703125,48,1
Very High,1,0,57,Yes,No,91.62999725341797,48,1
Fairly Low,0,1,20,Yes,Yes,85.55000305175781,50,0
Very High,1,1,44,Yes,No,63.869998931884766,61,1
Average,0,1,72,Yes,No,56.68000030517578,61,0
Very High,1,0,48,Yes,No,77.5,44,1
Fairly High,1,1,41,Yes,No,54.029998779296875,44,1
Fairly High,1,0,41,No,No,64.37999725341797,72,1
Average,0,1,31,Yes,No,60.970001220703125,55,0
Average,1,0,49,Yes,No,88.06999969482422,55,0
Very High,1,0,29,No,No,73.19999694824219,55,1
Fairly High,0,0,35,Yes,No,77.37999725341797,53,1
Average,0,1,21,Yes,Yes,60.119998931884766,53,0
Average,0,0,74,Yes,Yes,74.56999969482422,53,0
Fairly High,1,1,44,Yes,Yes,92.05000305175781,89,1
Fairly High,0,0,50,Yes,Yes,89.16999816894531,89,1
Average,0,0,89,No,No,67.16999816894531,66,0
Average,0,0,46,Yes,No,65.529998779296875,66,0
Fairly High,1,1,24,No,No,46.72999954223633,66,1
Fairly Low,0,0,85,Yes,No,63.33000183105469,1,0
Average,0,0,77,Yes,No,84.94999694824219,1,0
Fairly Low,0,1,25,No,No,53.81999969482422,86,0
Average,0,0,41,Yes,No,48.97999954223633,86,0
Average,0,1,25,No,No,41.66999816894531,86,0
Average,0,1,71,No,No,83.83000183105469,47,0
Average,0,1,29,No,No,60.47999954223633,47,0
Very Low,0,0,54,Yes,No,74.7300033569336,47,0
Average,0,1,53,Yes,Yes,59.099998474121094,50,0
Very High,0,1,54,Yes,No,82.08000183105469,50,1
Very High,1,0,65,Yes,No,61.75,50,1
Fairly High,1,1,39,Yes,No,58,45,1
Fairly Low,0,1,39,Yes,No,50.599998474121094,46,0
Very Low,0,0,21,No,No,58.54999923706055,46,0
Very Low,0,1,47,No,No,55.880001068115234,46,0
Average,0,0,35,Yes,No,44.52000045776367,5,0
Average,0,1,33,No,No,73.12000274658203,6,0
Average,1,1,34,Yes,Yes,83.80000305175781,6,0
Average,0,0,36,Yes,No,117.33000183105469,46,0
Fairly Low,0,1,NA,Yes,No,58.02000045776367,46,0
Fairly Low,0,1,49,Yes,No,97.1500015258789,68,0
Fairly High,0,1,39,Yes,No,92.06999969482422,56,1
Average,0,1,40,Yes,No,52.68000030517578,56,0
Fairly Low,0,0,28,No,No,58.970001220703125,98,0
Very High,1,0,76,Yes,No,82.5999984741211,98,1
Fairly Low,1,1,36,Yes,No,75.62999725341797,100,0
Fairly High,0,0,50,No,No,57.849998474121094,100,1
Average,0,1,65,Yes,No,60.619998931884766,100,0
Fairly High,0,1,54,Yes,No,72.83000183105469,100,1
Fairly High,0,1,47,Yes,No,69.0199966430664,98,1
Fairly Low,0,1,42,Yes,No,43.91999816894531,11,0
Average,0,1,44,Yes,No,84.1500015258789,75,0
Very High,1,0,30,No,No,63.150001525878906,48,1
Average,0,1,74,Yes,No,67.0999984741211,48,0
Fairly Low,0,1,48,Yes,No,82.529998779296875,60,0
Fairly High,0,1,30,No,No,65.12000274658203,6,1
Average,0,1,47,Yes,No,69.80000305175781,6,0
Very High,1,0,43,Yes,No,155.77999877929688,6,1
Average,1,0,38,Yes,Yes,96.31999969482422,101,0
Fairly High,1,1,52,Yes,No,123.93000030517578,101,1
Average,0,0,65,No,No,82.9800033569336,101,0
Fairly High,0,1,81,Yes,No,132.47000122070312,101,1
Fairly High,0,1,68,Yes,No,94.9000015258789,44,1
Average,0,1,69,Yes,No,45.93000030517578,44,0
Very High,0,0,51,Yes,Yes,98.06999969482422,90,1
Fairly Low,0,0,21,Yes,No,58.619998931884766,90,0
Very Low,0,0,36,Yes,No,54.70000076293945,43,0
Average,1,1,37,No,No,63.720001220703125,43,0
Very High,1,1,74,Yes,No,101.06999969482422,74,1
Fairly Low,0,1,69,Yes,No,80.05000305175781,39,0
Average,0,0,38,No,No,66.5199966430664,39,0
Fairly High,0,1,66,Yes,No,51.130001068115234,26,1
Average,1,1,30,Yes,No,53.91999816894531,26,0
Fairly High,1,1,62,Yes,No,75.30000305175781,26,1
Very High,1,1,41,Yes,No,71.529998779296875,6,1
Fairly Low,1,1,44,Yes,Yes,65.25,18,0
Very High,1,0,46,Yes,No,43.77000045776367,18,1
Average,1,1,47,No,No,81.779998779296875,18,0
Average,0,0,67,Yes,No,67.5999984741211,12,0
Average,0,1,24,No,No,50.130001068115234,12,0
Very High,1,1,46,Yes,No,82.5199966430664,17,1
Fairly High,1,1,60,Yes,No,60.599998474121094,17,1
Very Low,1,1,42,Yes,No,42.08000183105469,17,0
Fairly High,0,1,54,Yes,No,70.220001220703125,17,1
Fairly High,1,1,42,Yes,Yes,58.04999923706055,18,1
Very High,1,0,66,Yes,No,66.87999725341797,18,1
Fairly High,1,0,49,Yes,Yes,60.54999923706055,12,1
Very Low,0,1,55,No,No,48.22999954223633,17,0
Fairly Low,0,0,22,No,No,56.81999969482422,17,0
Very High,0,1,51,Yes,No,57.93000030517578,17,1
Fairly High,1,0,37,Yes,No,67.06999969482422,77,1
Average,1,0,42,Yes,No,54.220001220703125,3,0
Average,0,1,38,Yes,No,78.91999816894531,3,0
Fairly High,0,1,38,No,No,76.31999969482422,3,1
Fairly Low,0,0,36,No,No,72.30000305175781,87,0
Very High,1,1,44,Yes,No,110.43000030517578,53,1
